algorithm_id,bag_id,true_proportion,raw,clipped,out_of_range
Q-CC,bag:adult:GaussianCopula:s42:test:p000:b00,0.0,0.007,0.007,False
Q-CC,bag:adult:GaussianCopula:s42:test:p000:b01,0.0,0.003,0.003,False
Q-CC,bag:adult:GaussianCopula:s42:test:p000:b02,0.0,0.004,0.004,False
Q-CC,bag:adult:GaussianCopula:s42:test:p005:b00,0.05,0.057,0.057,False
Q-CC,bag:adult:GaussianCopula:s42:test:p005:b01,0.05,0.06,0.06,False
Q-CC,bag:adult:GaussianCopula:s42:test:p005:b02,0.05,0.058,0.058,False
Q-CC,bag:adult:GaussianCopula:s42:test:p010:b00,0.1,0.097,0.097,False
Q-CC,bag:adult:GaussianCopula:s42:test:p010:b01,0.1,0.105,0.105,False
Q-CC,bag:adult:GaussianCopula:s42:test:p010:b02,0.1,0.102,0.102,False
Q-CC,bag:adult:GaussianCopula:s42:test:p025:b00,0.25,0.254,0.254,False
Q-CC,bag:adult:GaussianCopula:s42:test:p025:b01,0.25,0.25,0.25,False
Q-CC,bag:adult:GaussianCopula:s42:test:p025:b02,0.25,0.247,0.247,False
Q-CC,bag:adult:GaussianCopula:s42:test:p050:b00,0.5,0.488,0.488,False
Q-CC,bag:adult:GaussianCopula:s42:test:p050:b01,0.5,0.495,0.495,False
Q-CC,bag:adult:GaussianCopula:s42:test:p050:b02,0.5,0.492,0.492,False
Q-CC,bag:adult:GaussianCopula:s42:test:p075:b00,0.75,0.735,0.735,False
Q-CC,bag:adult:GaussianCopula:s42:test:p075:b01,0.75,0.737,0.737,False
Q-CC,bag:adult:GaussianCopula:s42:test:p075:b02,0.75,0.732,0.732,False
Q-CC,bag:adult:GaussianCopula:s42:test:p100:b00,1.0,0.98,0.98,False
Q-CC,bag:adult:GaussianCopula:s42:test:p100:b01,1.0,0.982,0.982,False
Q-CC,bag:adult:GaussianCopula:s42:test:p100:b02,1.0,0.977,0.977,False
Q-PCC,bag:adult:GaussianCopula:s42:test:p000:b00,0.0,0.0257902239488903,0.0257902239488903,False
Q-PCC,bag:adult:GaussianCopula:s42:test:p000:b01,0.0,0.021986393059371,0.021986393059371,False
Q-PCC,bag:adult:GaussianCopula:s42:test:p000:b02,0.0,0.0252696905536577,0.0252696905536577,False
Q-PCC,bag:adult:GaussianCopula:s42:test:p005:b00,0.05,0.0754899328427854,0.0754899328427854,False
Q-PCC,bag:adult:GaussianCopula:s42:test:p005:b01,0.05,0.0783198391213081,0.0783198391213081,False
Q-PCC,bag:adult:GaussianCopula:s42:test:p005:b02,0.05,0.0751387181398458,0.0751387181398458,False
Q-PCC,bag:adult:GaussianCopula:s42:test:p010:b00,0.1,0.116057597174542,0.116057597174542,False
Q-PCC,bag:adult:GaussianCopula:s42:test:p010:b01,0.1,0.121613224664703,0.121613224664703,False
Q-PCC,bag:adult:GaussianCopula:s42:test:p010:b02,0.1,0.1160820083683356,0.1160820083683356,False
Q-PCC,bag:adult:GaussianCopula:s42:test:p025:b00,0.25,0.2650330170006491,0.2650330170006491,False
Q-PCC,bag:adult:GaussianCopula:s42:test:p025:b01,0.25,0.2589356177698355,0.2589356177698355,False
Q-PCC,bag:adult:GaussianCopula:s42:test:p025:b02,0.25,0.2609607375655323,0.2609607375655323,False
Q-PCC,bag:adult:GaussianCopula:s42:test:p050:b00,0.5,0.4915658444331493,0.4915658444331493,False
Q-PCC,bag:adult:GaussianCopula:s42:test:p050:b01,0.5,0.4938121054463554,0.4938121054463554,False
Q-PCC,bag:adult:GaussianCopula:s42:test:p050:b02,0.5,0.4966861415277235,0.4966861415277235,False
Q-PCC,bag:adult:GaussianCopula:s42:test:p075:b00,0.75,0.7288196838172153,0.7288196838172153,False
Q-PCC,bag:adult:GaussianCopula:s42:test:p075:b01,0.75,0.7309065027330071,0.7309065027330071,False
Q-PCC,bag:adult:GaussianCopula:s42:test:p075:b02,0.75,0.7304721804175061,0.7304721804175061,False
Q-PCC,bag:adult:GaussianCopula:s42:test:p100:b00,1.0,0.9660176252126692,0.9660176252126692,False
Q-PCC,bag:adult:GaussianCopula:s42:test:p100:b01,1.0,0.9667505498826504,0.9667505498826504,False
Q-PCC,bag:adult:GaussianCopula:s42:test:p100:b02,1.0,0.9652688888311386,0.9652688888311386,False
Q-ACC,bag:adult:GaussianCopula:s42:test:p000:b00,0.0,0.0001066384086061,0.0001066384086061,False
Q-ACC,bag:adult:GaussianCopula:s42:test:p000:b01,0.0,-0.0040167133908331,0.0,True
Q-ACC,bag:adult:GaussianCopula:s42:test:p000:b02,0.0,-0.0029858754409732,0.0,True
Q-ACC,bag:adult:GaussianCopula:s42:test:p005:b00,0.05,0.0516485359015975,0.0516485359015975,False
Q-ACC,bag:adult:GaussianCopula:s42:test:p005:b01,0.05,0.054741049751177,0.054741049751177,False
Q-ACC,bag:adult:GaussianCopula:s42:test:p005:b02,0.05,0.0526793738514574,0.0526793738514574,False
Q-ACC,bag:adult:GaussianCopula:s42:test:p010:b00,0.1,0.0928820538959906,0.0928820538959906,False
Q-ACC,bag:adult:GaussianCopula:s42:test:p010:b01,0.1,0.1011287574948692,0.1011287574948692,False
Q-ACC,bag:adult:GaussianCopula:s42:test:p010:b02,0.1,0.0980362436452898,0.0980362436452898,False
Q-ACC,bag:adult:GaussianCopula:s42:test:p025:b00,0.25,0.2547236120239836,0.2547236120239836,False
Q-ACC,bag:adult:GaussianCopula:s42:test:p025:b01,0.25,0.2506002602245443,0.2506002602245443,False
Q-ACC,bag:adult:GaussianCopula:s42:test:p025:b02,0.25,0.2475077463749647,0.2475077463749647,False
Q-ACC,bag:adult:GaussianCopula:s42:test:p050:b00,0.5,0.4959396922911832,0.4959396922911832,False
Q-ACC,bag:adult:GaussianCopula:s42:test:p050:b01,0.5,0.5031555579402021,0.5031555579402021,False
Q-ACC,bag:adult:GaussianCopula:s42:test:p050:b02,0.5,0.5000630440906225,0.5000630440906225,False
Q-ACC,bag:adult:GaussianCopula:s42:test:p075:b00,0.75,0.7505566659065607,0.7505566659065607,False
Q-ACC,bag:adult:GaussianCopula:s42:test:p075:b01,0.75,0.7526183418062803,0.7526183418062803,False
Q-ACC,bag:adult:GaussianCopula:s42:test:p075:b02,0.75,0.7474641520569811,0.7474641520569811,False
Q-ACC,bag:adult:GaussianCopula:s42:test:p100:b00,1.0,1.0031119636222183,1.0,True
Q-ACC,bag:adult:GaussianCopula:s42:test:p100:b01,1.0,1.005173639521938,1.0,True
Q-ACC,bag:adult:GaussianCopula:s42:test:p100:b02,1.0,1.000019449772639,1.0,True
Q-PACC,bag:adult:GaussianCopula:s42:test:p000:b00,0.0,-0.0022615353975568,0.0,True
Q-PACC,bag:adult:GaussianCopula:s42:test:p000:b01,0.0,-0.0063303931164682,0.0,True
Q-PACC,bag:adult:GaussianCopula:s42:test:p000:b02,0.0,-0.00281833626086,0.0,True
Q-PACC,bag:adult:GaussianCopula:s42:test:p005:b00,0.05,0.0509009342373978,0.0509009342373978,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p005:b01,0.05,0.0539280104507196,0.0539280104507196,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p005:b02,0.05,0.0505252491198,0.0505252491198,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p010:b00,0.1,0.094295096319964,0.094295096319964,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p010:b01,0.1,0.1002378047245414,0.1002378047245414,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p010:b02,0.1,0.0943212083310339,0.0943212083310339,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p025:b00,0.25,0.2536501792595522,0.2536501792595522,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p025:b01,0.25,0.2471279518929419,0.2471279518929419,False
Q-PACC,bag:adult:GaussianCopula:s42:test:p025:b02,0.25,0.2492941692016936,0.2492941692016936,False
