algorithm_id,run_id,status,seconds,path
D-LR,runthrough-d-lr-20260715T025856794836,runthrough_passed,6.188165499996103,E:\毕设\reproduction\runs\runthrough-d-lr-20260715T025856794836
D-XGB,runthrough-d-xgb-20260715T025903115090,runthrough_passed,6.332300000001851,E:\毕设\reproduction\runs\runthrough-d-xgb-20260715T025903115090
D-3G,runthrough-d-3g-20260715T025239531938,runthrough_passed,0.33097770000313176,E:\毕设\reproduction\runs\runthrough-d-3g-20260715T025239531938
D-FT,runthrough-d-ft-20260715T025239973258,runthrough_passed,1.8208006999993813,E:\毕设\reproduction\runs\runthrough-d-ft-20260715T025239973258
D-TT,runthrough-d-tt-20260715T025241846411,runthrough_passed,3.023847399999795,E:\毕设\reproduction\runs\runthrough-d-tt-20260715T025241846411
D-DW,runthrough-d-dw-20260715T025244913596,runthrough_passed,6.143506599997636,E:\毕设\reproduction\runs\runthrough-d-dw-20260715T025244913596
D-DWTA,runthrough-d-dwta-20260715T025251199918,runthrough_passed,14.565486899999087,E:\毕设\reproduction\runs\runthrough-d-dwta-20260715T025251199918
Q-CC,runthrough-q-cc-20260715T025320176607,runthrough_passed,2.340159200000926,E:\毕设\reproduction\runs\runthrough-q-cc-20260715T025320176607
Q-PCC,runthrough-q-pcc-20260715T025322641124,runthrough_passed,0.08429790000081994,E:\毕设\reproduction\runs\runthrough-q-pcc-20260715T025322641124
Q-ACC,runthrough-q-acc-20260715T025322849214,runthrough_passed,0.08552570000028936,E:\毕设\reproduction\runs\runthrough-q-acc-20260715T025322849214
Q-PACC,runthrough-q-pacc-20260715T025323042327,runthrough_passed,0.08895019999908982,E:\毕设\reproduction\runs\runthrough-q-pacc-20260715T025323042327
Q-EMQ,runthrough-q-emq-20260715T025323257551,runthrough_passed,0.10730810000677593,E:\毕设\reproduction\runs\runthrough-q-emq-20260715T025323257551
Q-HDy,runthrough-q-hdy-20260715T025323499160,runthrough_passed,0.34704079999937676,E:\毕设\reproduction\runs\runthrough-q-hdy-20260715T025323499160
Q-DyS,runthrough-q-dys-20260715T025324010546,runthrough_passed,0.3479063999984646,E:\毕设\reproduction\runs\runthrough-q-dys-20260715T025324010546
Q-MS,runthrough-q-ms-20260715T025324479660,runthrough_passed,0.20079460000124527,E:\毕设\reproduction\runs\runthrough-q-ms-20260715T025324479660
V-CURVE-LR,runthrough-v-curve-lr-20260715T025325572400,runthrough_passed,32.5991847999976,E:\毕设\reproduction\runs\runthrough-v-curve-lr-20260715T025325572400
V-CURVE-XGB,runthrough-v-curve-xgb-20260715T025358360336,runthrough_passed,34.0264698999963,E:\毕设\reproduction\runs\runthrough-v-curve-xgb-20260715T025358360336
V-KNN,runthrough-v-knn-20260715T025910715869,runthrough_passed,4.6903068000028725,E:\毕设\reproduction\runs\runthrough-v-knn-20260715T025910715869
V-OOB,runthrough-v-oob-20260715T025915532472,runthrough_passed,1.1531529999992927,E:\毕设\reproduction\runs\runthrough-v-oob-20260715T025915532472
