protocol,detector,calibration_policy,metric,n_seeds,mean,std,ci95_low,ci95_high
P1,c2st_lr,oracle_target,detection_auroc,5,0.7025591795486675,0.004812292130375382,0.6965839296615411,0.7085344294357939
P1,c2st_lr,oracle_target,detection_auprc,5,0.6964803796667811,0.005267640910521009,0.6899397395927219,0.7030210197408403
P1,c2st_lr,oracle_target,detection_fpr,5,0.05107187894073136,0.004176431683320248,0.045886154078595066,0.05625760380286766
P1,c2st_lr,oracle_target,detection_tpr,5,0.1955233291298865,0.007089462312849126,0.18672059900939933,0.20432605925037364
P1,c2st_lr,oracle_target,detection_ece,5,0.016453298997587677,0.005812394225301314,0.009236258344663576,0.02367033965051178
P1,c2st_lr,source_only,detection_auroc,5,0.7025591795486675,0.004812292130375382,0.6965839296615411,0.7085344294357939
P1,c2st_lr,source_only,detection_auprc,5,0.6964803796667811,0.005267640910521009,0.6899397395927219,0.7030210197408403
P1,c2st_lr,source_only,detection_fpr,5,0.05107187894073136,0.004176431683320248,0.045886154078595066,0.05625760380286766
P1,c2st_lr,source_only,detection_tpr,5,0.1955233291298865,0.007089462312849126,0.18672059900939933,0.20432605925037364
P1,c2st_lr,source_only,detection_ece,5,0.016453298997587677,0.005812394225301314,0.009236258344663576,0.02367033965051178
P1,c2st_lr,target_real_anchor,detection_auroc,5,0.7025591795486675,0.004812292130375382,0.6965839296615411,0.7085344294357939
P1,c2st_lr,target_real_anchor,detection_auprc,5,0.6964803796667811,0.005267640910521009,0.6899397395927219,0.7030210197408403
P1,c2st_lr,target_real_anchor,detection_fpr,5,0.052206809583858725,0.009064984280618247,0.040951144958332,0.06346247420938544
P1,c2st_lr,target_real_anchor,detection_tpr,5,0.19508196721311472,0.019178240540799717,0.17126903638471183,0.2188948980415176
P1,c2st_lr,target_real_anchor,detection_ece,5,0.016453298997587677,0.005812394225301314,0.009236258344663576,0.02367033965051178
P1,c2st_xgb,oracle_target,detection_auroc,5,0.938834630809622,0.0021382941163372734,0.9361795879877951,0.941489673631449
P1,c2st_xgb,oracle_target,detection_auprc,5,0.9522055639791761,0.0011179847019899482,0.9508174026241726,0.9535937253341796
P1,c2st_xgb,oracle_target,detection_fpr,5,0.047919293820933115,0.0028460703160888487,0.044385430773089186,0.05145315686877704
P1,c2st_xgb,oracle_target,detection_tpr,5,0.7873896595208071,0.005535458303206517,0.7805164802321575,0.7942628388094567
P1,c2st_xgb,oracle_target,detection_ece,5,0.01995472790428298,0.002586660298375707,0.016742964936206858,0.023166490872359103
P1,c2st_xgb,source_only,detection_auroc,5,0.938834630809622,0.0021382941163372734,0.9361795879877951,0.941489673631449
P1,c2st_xgb,source_only,detection_auprc,5,0.9522055639791761,0.0011179847019899482,0.9508174026241726,0.9535937253341796
P1,c2st_xgb,source_only,detection_fpr,5,0.047919293820933115,0.0028460703160888487,0.044385430773089186,0.05145315686877704
P1,c2st_xgb,source_only,detection_tpr,5,0.7873896595208071,0.005535458303206517,0.7805164802321575,0.7942628388094567
P1,c2st_xgb,source_only,detection_ece,5,0.01995472790428298,0.002586660298375707,0.016742964936206858,0.023166490872359103
P1,c2st_xgb,target_real_anchor,detection_auroc,5,0.938834630809622,0.0021382941163372734,0.9361795879877951,0.941489673631449
P1,c2st_xgb,target_real_anchor,detection_auprc,5,0.9522055639791761,0.0011179847019899482,0.9508174026241726,0.9535937253341796
P1,c2st_xgb,target_real_anchor,detection_fpr,5,0.04854981084489278,0.01225662495352694,0.03333120090061249,0.06376842078917307
P1,c2st_xgb,target_real_anchor,detection_tpr,5,0.7884615384615385,0.012827186639381385,0.7725344826131784,0.8043885943098987
P1,c2st_xgb,target_real_anchor,detection_ece,5,0.01995472790428298,0.002586660298375707,0.016742964936206858,0.023166490872359103
P1,char3gram,oracle_target,detection_auroc,5,0.8987714260498147,0.002910281972016727,0.8951578337005401,0.9023850183990894
P1,char3gram,oracle_target,detection_auprc,5,0.9137033033142126,0.0011761402871100055,0.912242932262871,0.9151636743655541
P1,char3gram,oracle_target,detection_fpr,5,0.0492433795712484,0.0032258202376510775,0.04523799471747995,0.05324876442501685
P1,char3gram,oracle_target,detection_tpr,5,0.6557377049180327,0.006336617667793739,0.6478697548895513,0.6636056549465141
P1,char3gram,oracle_target,detection_ece,5,0.02447400842517106,0.0045628419975879755,0.018808491787273923,0.030139525063068197
P1,char3gram,source_only,detection_auroc,5,0.8987714260498147,0.002910281972016727,0.8951578337005401,0.9023850183990894
P1,char3gram,source_only,detection_auprc,5,0.9137033033142126,0.0011761402871100055,0.912242932262871,0.9151636743655541
P1,char3gram,source_only,detection_fpr,5,0.0492433795712484,0.0032258202376510775,0.04523799471747995,0.05324876442501685
P1,char3gram,source_only,detection_tpr,5,0.6557377049180327,0.006336617667793739,0.6478697548895513,0.6636056549465141
P1,char3gram,source_only,detection_ece,5,0.02447400842517106,0.0045628419975879755,0.018808491787273923,0.030139525063068197
P1,char3gram,target_real_anchor,detection_auroc,5,0.8987714260498147,0.002910281972016727,0.8951578337005401,0.9023850183990894
P1,char3gram,target_real_anchor,detection_auprc,5,0.9137033033142126,0.0011761402871100055,0.912242932262871,0.9151636743655541
P1,char3gram,target_real_anchor,detection_fpr,5,0.05264817150063048,0.018106106291686606,0.030166471170592565,0.0751298718306684
P1,char3gram,target_real_anchor,detection_tpr,5,0.6543505674653216,0.03761339252284585,0.6076473721193972,0.701053762811246
P1,char3gram,target_real_anchor,detection_ece,5,0.02447400842517106,0.0045628419975879755,0.018808491787273923,0.030139525063068197
P1,column_positional_ablation,oracle_target,detection_auroc,5,0.906644679406344,0.04156882370213502,0.8550301675677237,0.9582591912449643
P1,column_positional_ablation,oracle_target,detection_auprc,5,0.9304333537621152,0.026818731838832176,0.8971334999603563,0.9637332075638742
P1,column_positional_ablation,oracle_target,detection_fpr,5,0.05050441361916769,0.0033910445925661526,0.046293875632274745,0.05471495160606063
P1,column_positional_ablation,oracle_target,detection_tpr,5,0.7467843631778058,0.04772986801544425,0.6875199044240113,0.8060488219316003
P1,column_positional_ablation,oracle_target,detection_ece,5,0.0233599524108134,0.010405806447111324,0.010439437173158648,0.03628046764846815
P1,column_positional_ablation,source_only,detection_auroc,5,0.906644679406344,0.04156882370213502,0.8550301675677237,0.9582591912449643
P1,column_positional_ablation,source_only,detection_auprc,5,0.9304333537621152,0.026818731838832176,0.8971334999603563,0.9637332075638742
P1,column_positional_ablation,source_only,detection_fpr,5,0.05050441361916769,0.0033910445925661526,0.046293875632274745,0.05471495160606063
P1,column_positional_ablation,source_only,detection_tpr,5,0.7467843631778058,0.04772986801544425,0.6875199044240113,0.8060488219316003
P1,column_positional_ablation,source_only,detection_ece,5,0.0233599524108134,0.010405806447111324,0.010439437173158648,0.03628046764846815
P1,column_positional_ablation,target_real_anchor,detection_auroc,5,0.906644679406344,0.04156882370213502,0.8550301675677237,0.9582591912449643
P1,column_positional_ablation,target_real_anchor,detection_auprc,5,0.9304333537621152,0.026818731838832176,0.8971334999603563,0.9637332075638742
P1,column_positional_ablation,target_real_anchor,detection_fpr,5,0.04861286254728873,0.005041179776736276,0.042353411110042406,0.05487231398453505
P1,column_positional_ablation,target_real_anchor,detection_tpr,5,0.7441992433795712,0.04760330457169454,0.6850919338973694,0.803306552861773
P1,column_positional_ablation,target_real_anchor,detection_ece,5,0.0233599524108134,0.010405806447111324,0.010439437173158648,0.03628046764846815
P1,datum_transformer,oracle_target,detection_auroc,5,0.8996020308531936,0.04020887191732126,0.8496761221850694,0.9495279395213178
P1,datum_transformer,oracle_target,detection_auprc,5,0.9247535022473269,0.026342660909037256,0.8920447685796857,0.957462235914968
P1,datum_transformer,oracle_target,detection_fpr,5,0.05138713745271116,0.0028547872440533926,0.04784245090923872,0.0549318239961836
P1,datum_transformer,oracle_target,detection_tpr,5,0.728499369482976,0.05019713494896031,0.666171394203876,0.790827344762076
P1,datum_transformer,oracle_target,detection_ece,5,0.026303186051915638,0.01657372452008004,0.005724188999185295,0.04688218310464598
P1,datum_transformer,source_only,detection_auroc,5,0.8996020308531936,0.04020887191732126,0.8496761221850694,0.9495279395213178
P1,datum_transformer,source_only,detection_auprc,5,0.9247535022473269,0.026342660909037256,0.8920447685796857,0.957462235914968
P1,datum_transformer,source_only,detection_fpr,5,0.05138713745271116,0.0028547872440533926,0.04784245090923872,0.0549318239961836
P1,datum_transformer,source_only,detection_tpr,5,0.728499369482976,0.05019713494896031,0.666171394203876,0.790827344762076
