seed,protocol,artifact_auroc
2026,P1,0.5390797810762202
2026,P2,0.5032230511617257
2026,P3,0.5414813645543894
2026,P4,0.5028767724702639
2027,P1,0.5428578641295446
2027,P2,0.5027797809967098
2027,P3,0.5416592440411689
2027,P4,0.5068682563910123
2028,P1,0.5385272338828558
2028,P2,0.5011208970674995
2028,P3,0.5607818159202931
2028,P4,0.513003122246162
2029,P1,0.5352770995103753
2029,P2,0.524051133499457
2029,P3,0.5422528344766812
2029,P4,0.5122508896609591
2030,P1,0.531952424190863
2030,P2,0.5033038535483081
2030,P3,0.5428286369635155
2030,P4,0.5173058293874832
