protocol,detector,calibration_policy,quantifier,contamination_mode,true_prevalence,metric,n_seeds,mean,std,ci95_low,ci95_high
P1,c2st_lr,oracle_target,acc,replace,0.05,prevalence_absolute_error,5,0.03732190143217939,0.004431378209173086,0.0318196186474245,0.04282418421693428
P1,c2st_lr,oracle_target,acc,replace,0.05,prevalence_error,5,0.0053619938268308475,0.023014354422488132,-0.023214101501474252,0.03393808915513594
P1,c2st_lr,oracle_target,acc,replace,0.05,false_positive_share,5,0.8317081253135006,0.012185588439684317,0.8165777188510166,0.8468385317759846
P1,c2st_lr,oracle_target,acc,replace,0.05,prevalence_decision_error,5,0.16999999999999998,0.09746794344808965,0.04897756364154661,0.2910224363584534
P1,c2st_lr,oracle_target,acc,replace,0.05,decision_regret,5,0.0002535070840249321,0.0002601314616989024,-6.948878676671637e-05,0.0005765029548165806
P1,c2st_lr,oracle_target,acc,replace,0.1,prevalence_absolute_error,5,0.04443339490460072,0.005654533334419682,0.03741236443660872,0.051454425372592726
P1,c2st_lr,oracle_target,acc,replace,0.1,prevalence_error,5,-0.001946090720758254,0.023811307693006517,-0.03151173423331677,0.027619552791800263
P1,c2st_lr,oracle_target,acc,replace,0.1,false_positive_share,5,0.7008523552790311,0.01821502551812836,0.6782354138668083,0.7234692966912539
P1,c2st_lr,oracle_target,acc,replace,0.1,prevalence_decision_error,5,0.5399999999999999,0.19987496091306683,0.29182245689186026,0.7881775431081396
P1,c2st_lr,oracle_target,acc,replace,0.1,decision_regret,5,0.0006176388478651386,0.00030640857242832494,0.00023718235473987697,0.0009980953409904
P1,c2st_lr,oracle_target,cc,replace,0.05,prevalence_absolute_error,5,0.008413999999999939,0.0026706984105285916,0.0050978899335865704,0.011730110066413307
P1,c2st_lr,oracle_target,cc,replace,0.05,prevalence_error,5,0.007017999999999937,0.004320748777700448,0.0016530817974463718,0.012382918202553501
P1,c2st_lr,oracle_target,cc,replace,0.05,false_positive_share,5,0.8317081253135006,0.012185588439684317,0.8165777188510166,0.8468385317759846
P1,c2st_lr,oracle_target,cc,replace,0.05,prevalence_decision_error,5,0.0,0.0,0.0,0.0
P1,c2st_lr,oracle_target,cc,replace,0.05,decision_regret,5,0.00019856662871252012,0.00027443464938419143,-0.00014218899528750317,0.0005393222527125434
P1,c2st_lr,oracle_target,cc,replace,0.1,prevalence_absolute_error,5,0.03628,0.0044039981834691965,0.030811714007431525,0.041748285992568475
P1,c2st_lr,oracle_target,cc,replace,0.1,prevalence_error,5,-0.03628,0.0044039981834691965,-0.041748285992568475,-0.030811714007431525
P1,c2st_lr,oracle_target,cc,replace,0.1,false_positive_share,5,0.7008523552790311,0.01821502551812836,0.6782354138668083,0.7234692966912539
P1,c2st_lr,oracle_target,cc,replace,0.1,prevalence_decision_error,5,1.0,0.0,1.0,1.0
P1,c2st_lr,oracle_target,cc,replace,0.1,decision_regret,5,0.0005195720263723425,0.000304599588966794,0.00014136168288460987,0.0008977823698600751
P1,c2st_lr,oracle_target,dys,replace,0.05,prevalence_absolute_error,5,0.034277091208815044,0.0018480125878840513,0.03198248051021205,0.03657170190741804
P1,c2st_lr,oracle_target,dys,replace,0.05,prevalence_error,5,-0.00011050527170262115,0.01626310525079453,-0.020303817560612787,0.020082807017207542
P1,c2st_lr,oracle_target,dys,replace,0.05,false_positive_share,5,0.8317081253135006,0.012185588439684317,0.8165777188510166,0.8468385317759846
P1,c2st_lr,oracle_target,dys,replace,0.05,prevalence_decision_error,5,0.136,0.06542170893518451,0.054768219314215896,0.21723178068578414
P1,c2st_lr,oracle_target,dys,replace,0.05,decision_regret,5,0.00027432269221930414,0.00023142860102677899,-1.3033869830310016e-05,0.0005616792542689182
P1,c2st_lr,oracle_target,dys,replace,0.1,prevalence_absolute_error,5,0.03749964130487157,0.005930600423146748,0.030135828271718245,0.0448634543380249
P1,c2st_lr,oracle_target,dys,replace,0.1,prevalence_error,5,-0.0038451602137528685,0.01914494212125891,-0.027616745593414864,0.019926425165909124
P1,c2st_lr,oracle_target,dys,replace,0.1,false_positive_share,5,0.7008523552790311,0.01821502551812836,0.6782354138668083,0.7234692966912539
P1,c2st_lr,oracle_target,dys,replace,0.1,prevalence_decision_error,5,0.53,0.16703293088490068,0.32260122320576123,0.7373987767942388
P1,c2st_lr,oracle_target,dys,replace,0.1,decision_regret,5,0.0005008154681268679,0.00044419030968829336,-5.071964776406652e-05,0.0010523505840178025
P1,c2st_lr,oracle_target,emq,replace,0.05,prevalence_absolute_error,5,0.02709336767723789,0.0018656686659156577,0.024776834062193574,0.029409901292282208
P1,c2st_lr,oracle_target,emq,replace,0.05,prevalence_error,5,0.0013799180885744073,0.011899668992379453,-0.013395472489804824,0.01615530866695364
P1,c2st_lr,oracle_target,emq,replace,0.05,false_positive_share,5,0.8317081253135006,0.012185588439684317,0.8165777188510166,0.8468385317759846
P1,c2st_lr,oracle_target,emq,replace,0.05,prevalence_decision_error,5,0.09000000000000001,0.03807886552931954,0.042718843579801616,0.1372811564201984
P1,c2st_lr,oracle_target,emq,replace,0.05,decision_regret,5,0.00023190962268152012,0.0002536161238125297,-8.299638762048636e-05,0.0005468156329835266
P1,c2st_lr,oracle_target,emq,replace,0.1,prevalence_absolute_error,5,0.029830841401552947,0.0034433208535365684,0.025555393863452333,0.03410628893965356
P1,c2st_lr,oracle_target,emq,replace,0.1,prevalence_error,5,-0.00230144832001215,0.013866555894380274,-0.01951905155314433,0.014916154913120032
P1,c2st_lr,oracle_target,emq,replace,0.1,false_positive_share,5,0.7008523552790311,0.01821502551812836,0.6782354138668083,0.7234692966912539
P1,c2st_lr,oracle_target,emq,replace,0.1,prevalence_decision_error,5,0.544,0.14310835055998652,0.3663075132673413,0.7216924867326588
P1,c2st_lr,oracle_target,emq,replace,0.1,decision_regret,5,0.0004168750684718026,0.000391315613504441,-6.900744075168043e-05,0.0009027575776952856
P1,c2st_lr,oracle_target,hdy,replace,0.05,prevalence_absolute_error,5,0.028665019157921152,0.002552169188436797,0.02549608255931426,0.03183395575652804
P1,c2st_lr,oracle_target,hdy,replace,0.05,prevalence_error,5,-0.0006970989219504349,0.013850959951408044,-0.01789533723417596,0.016501139390275088
P1,c2st_lr,oracle_target,hdy,replace,0.05,false_positive_share,5,0.8317081253135006,0.012185588439684317,0.8165777188510166,0.8468385317759846
P1,c2st_lr,oracle_target,hdy,replace,0.05,prevalence_decision_error,5,0.096,0.06107372593840988,0.02016695326611305,0.17183304673388694
P1,c2st_lr,oracle_target,hdy,replace,0.05,decision_regret,5,0.00029269805879426013,0.00021270985629993078,2.858388816353994e-05,0.0005568122294249804
P1,c2st_lr,oracle_target,hdy,replace,0.1,prevalence_absolute_error,5,0.03158567073452497,0.004297458342698038,0.026249671426616404,0.03692167004243354
P1,c2st_lr,oracle_target,hdy,replace,0.1,prevalence_error,5,-0.0030182119534477364,0.017704096546746987,-0.025000751256267054,0.01896432734937158
P1,c2st_lr,oracle_target,hdy,replace,0.1,false_positive_share,5,0.7008523552790311,0.01821502551812836,0.6782354138668083,0.7234692966912539
P1,c2st_lr,oracle_target,hdy,replace,0.1,prevalence_decision_error,5,0.528,0.16037456157383567,0.32886868066605546,0.7271313193339446
P1,c2st_lr,oracle_target,hdy,replace,0.1,decision_regret,5,0.0004168750684718026,0.000391315613504441,-6.900744075168043e-05,0.0009027575776952856
P1,c2st_lr,oracle_target,kdey,replace,0.05,prevalence_absolute_error,5,0.029572387668281137,0.002949301624405947,0.025910346021412393,0.03323442931514988
P1,c2st_lr,oracle_target,kdey,replace,0.05,prevalence_error,5,-0.012532143925418507,0.011615061516467235,-0.02695414764733789,0.0018898597965008763
P1,c2st_lr,oracle_target,kdey,replace,0.05,false_positive_share,5,0.8317081253135006,0.012185588439684317,0.8165777188510166,0.8468385317759846
P1,c2st_lr,oracle_target,kdey,replace,0.05,prevalence_decision_error,5,0.052000000000000005,0.03114482300479487,0.013328594544517833,0.09067140545548218
P1,c2st_lr,oracle_target,kdey,replace,0.05,decision_regret,5,0.00023190962268152012,0.0002536161238125297,-8.299638762048636e-05,0.0005468156329835266
P1,c2st_lr,oracle_target,kdey,replace,0.1,prevalence_absolute_error,5,0.033534617549736474,0.005700431095876903,0.026456597483744893,0.04061263761572806
P1,c2st_lr,oracle_target,kdey,replace,0.1,prevalence_error,5,-0.014962638412090617,0.015534908739563352,-0.034251775309387444,0.004326498485206212
P1,c2st_lr,oracle_target,kdey,replace,0.1,false_positive_share,5,0.7008523552790311,0.01821502551812836,0.6782354138668083,0.7234692966912539
P1,c2st_lr,oracle_target,kdey,replace,0.1,prevalence_decision_error,5,0.6499999999999999,0.1457737973711325,0.46899792392281414,0.8310020760771857
P1,c2st_lr,oracle_target,kdey,replace,0.1,decision_regret,5,0.00044895941962210656,0.0003678618825744744,-7.80143628207892e-06,0.000905720275526292
P1,c2st_lr,oracle_target,median_sweep,replace,0.05,prevalence_absolute_error,5,0.03358414039867946,0.0006722593569964026,0.032749420157641415,0.03441886063971751
P1,c2st_lr,oracle_target,median_sweep,replace,0.05,prevalence_error,5,-0.00463642108666767,0.014856520555820056,-0.02308322779940361,0.013810385626068268
P1,c2st_lr,oracle_target,median_sweep,replace,0.05,false_positive_share,5,0.8317081253135006,0.012185588439684317,0.8165777188510166,0.8468385317759846
P1,c2st_lr,oracle_target,median_sweep,replace,0.05,prevalence_decision_error,5,0.10400000000000001,0.06985699678629192,0.01726108206782527,0.19073891793217473
P1,c2st_lr,oracle_target,median_sweep,replace,0.05,decision_regret,5,0.00023190962268152012,0.0002536161238125297,-8.299638762048636e-05,0.0005468156329835266
P1,c2st_lr,oracle_target,median_sweep,replace,0.1,prevalence_absolute_error,5,0.03445659250410614,0.0028083960827005763,0.030969508195520353,0.03794367681269192
P1,c2st_lr,oracle_target,median_sweep,replace,0.1,prevalence_error,5,-0.006760469000068867,0.01589665423076649,-0.02649877225030517,0.012977834250167436
P1,c2st_lr,oracle_target,median_sweep,replace,0.1,false_positive_share,5,0.7008523552790311,0.01821502551812836,0.6782354138668083,0.7234692966912539
P1,c2st_lr,oracle_target,median_sweep,replace,0.1,prevalence_decision_error,5,0.5640000000000001,0.16742162345408076,0.35611859763624104,0.771881402363759
P1,c2st_lr,oracle_target,median_sweep,replace,0.1,decision_regret,5,0.000434577685547364,0.00037688658556588516,-3.338881915573806e-05,0.0009025441902504661
P1,c2st_lr,oracle_target,pacc,replace,0.05,prevalence_absolute_error,5,0.030118830772439893,0.0017718758330923375,0.027918756341201834,0.03231890520367795
P1,c2st_lr,oracle_target,pacc,replace,0.05,prevalence_error,5,-0.0031474340803791115,0.01489103814020986,-0.02163710003495683,0.015342231874198607
P1,c2st_lr,oracle_target,pacc,replace,0.05,false_positive_share,5,0.8317081253135006,0.012185588439684317,0.8165777188510166,0.8468385317759846
P1,c2st_lr,oracle_target,pacc,replace,0.05,prevalence_decision_error,5,0.088,0.057183913821983186,0.016996792930856874,0.15900320706914312
P1,c2st_lr,oracle_target,pacc,replace,0.05,decision_regret,5,0.00023190962268152012,0.0002536161238125297,-8.299638762048636e-05,0.0005468156329835266
P1,c2st_lr,oracle_target,pacc,replace,0.1,prevalence_absolute_error,5,0.0321989750627593,0.004686980797647852,0.026379319746047604,0.038018630379471
P1,c2st_lr,oracle_target,pacc,replace,0.1,prevalence_error,5,-0.005764953015811327,0.017609053806371146,-0.027629481169615337,0.01609957513799268
P1,c2st_lr,oracle_target,pacc,replace,0.1,false_positive_share,5,0.7008523552790311,0.01821502551812836,0.6782354138668083,0.7234692966912539
P1,c2st_lr,oracle_target,pacc,replace,0.1,prevalence_decision_error,5,0.56,0.16186414056238646,0.35901912406349124,0.7609808759365089
P1,c2st_lr,oracle_target,pacc,replace,0.1,decision_regret,5,0.000434577685547364,0.00037688658556588516,-3.338881915573806e-05,0.0009025441902504661
P1,c2st_lr,oracle_target,pcc,replace,0.05,prevalence_absolute_error,5,0.3926115654840834,0.0018103836735800947,0.3903636772536631,0.39485945371450365
P1,c2st_lr,oracle_target,pcc,replace,0.05,prevalence_error,5,0.3926115654840834,0.0018103836735800947,0.3903636772536631,0.39485945371450365
P1,c2st_lr,oracle_target,pcc,replace,0.05,false_positive_share,5,0.8317081253135006,0.012185588439684317,0.8165777188510166,0.8468385317759846
P1,c2st_lr,oracle_target,pcc,replace,0.05,prevalence_decision_error,5,1.0,0.0,1.0,1.0
P1,c2st_lr,oracle_target,pcc,replace,0.05,decision_regret,5,0.00055256474249094,0.00038399344790148685,7.577390268553104e-05,0.001029355582296349
P1,c2st_lr,oracle_target,pcc,replace,0.1,prevalence_absolute_error,5,0.3488920813339843,0.0018506843349623328,0.3465941532232219,0.3511900094447467
P1,c2st_lr,oracle_target,pcc,replace,0.1,prevalence_error,5,0.3488920813339843,0.0018506843349623328,0.3465941532232219,0.3511900094447467
P1,c2st_lr,oracle_target,pcc,replace,0.1,false_positive_share,5,0.7008523552790311,0.01821502551812836,0.6782354138668083,0.7234692966912539
P1,c2st_lr,oracle_target,pcc,replace,0.1,prevalence_decision_error,5,0.0,0.0,0.0,0.0
P1,c2st_lr,oracle_target,pcc,replace,0.1,decision_regret,5,0.0004116326057930079,0.00027839629696684487,6.595794661603291e-05,0.0007573072649699829
P1,c2st_lr,source_only,acc,replace,0.05,prevalence_absolute_error,5,0.03732190143217939,0.004431378209173086,0.0318196186474245,0.04282418421693428
P1,c2st_lr,source_only,acc,replace,0.05,prevalence_error,5,0.0053619938268308475,0.023014354422488132,-0.023214101501474252,0.03393808915513594
P1,c2st_lr,source_only,acc,replace,0.05,false_positive_share,5,0.8317081253135006,0.012185588439684317,0.8165777188510166,0.8468385317759846
