protocol,detector,calibration_policy,quantifier,contamination_mode,metric,n_seeds,mean,std,ci95_low,ci95_high
P1,c2st_lr,oracle_target,acc,append,prevalence_absolute_error,5,0.034067797616340156,0.0021817679313949033,0.03135877492349161,0.036776820309188704
P1,c2st_lr,oracle_target,acc,append,prevalence_error,5,0.00411046537709109,0.017842032631567414,-0.018043344196302928,0.02626427495048511
P1,c2st_lr,oracle_target,acc,append,decision_regret,5,0.0005910001685532268,0.0002565481695016141,0.00027245354267799567,0.0009095467944284579
P1,c2st_lr,oracle_target,acc,replace,prevalence_absolute_error,5,0.04204680950824004,0.0025057507876932628,0.03893550896669059,0.045158110049789486
P1,c2st_lr,oracle_target,acc,replace,prevalence_error,5,0.00039940547189868774,0.014792769060162005,-0.017968243303847005,0.018767054247644382
P1,c2st_lr,oracle_target,acc,replace,decision_regret,5,0.0006844705997055319,0.0002632069463655762,0.0003576560103262469,0.001011285189084817
P1,c2st_lr,oracle_target,cc,append,prevalence_absolute_error,5,0.20460519322716242,0.0042812822228004204,0.19928927922496134,0.2099211072293635
P1,c2st_lr,oracle_target,cc,append,prevalence_error,5,-0.18589630623760878,0.006229400130162236,-0.19363112810963706,-0.1781614843655805
P1,c2st_lr,oracle_target,cc,append,decision_regret,5,0.0004892311275647921,0.00019377390777760607,0.00024862904248608225,0.0007298332126435019
P1,c2st_lr,oracle_target,cc,replace,prevalence_absolute_error,5,0.29056542857142853,0.005572748506649775,0.2836459473796777,0.2974849097631794
P1,c2st_lr,oracle_target,cc,replace,prevalence_error,5,-0.27431571428571433,0.00701863096424402,-0.28303049567069427,-0.2656009329007344
P1,c2st_lr,oracle_target,cc,replace,decision_regret,5,0.0006010499241657478,0.00015950817771146262,0.0004029943624823366,0.000799105485849159
P1,c2st_lr,oracle_target,dys,append,prevalence_absolute_error,5,0.02724581001435778,0.0013221033215298492,0.02560420191810855,0.02888741811060701
P1,c2st_lr,oracle_target,dys,append,prevalence_error,5,0.00135017964609939,0.00834748008312428,-0.00901458584883899,0.011714945141037773
P1,c2st_lr,oracle_target,dys,append,decision_regret,5,0.000648216778654058,0.00024171599903309089,0.00034808672486481314,0.0009483468324433027
P1,c2st_lr,oracle_target,dys,replace,prevalence_absolute_error,5,0.03204033976970376,0.002274206876965651,0.029216538966108093,0.034864140573299424
P1,c2st_lr,oracle_target,dys,replace,prevalence_error,5,-0.0028223804595982915,0.0058148025281629144,-0.010042411415482412,0.004397650496285828
P1,c2st_lr,oracle_target,dys,replace,decision_regret,5,0.0006695857741076526,0.0002045367810620727,0.00041561981675439154,0.0009235517314609138
P1,c2st_lr,oracle_target,emq,append,prevalence_absolute_error,5,0.02170916083899247,0.0016644440380072965,0.019642480599973915,0.023775841078011027
P1,c2st_lr,oracle_target,emq,append,prevalence_error,5,0.0019898326050313483,0.007239631934530117,-0.006999357728320969,0.010979022938383666
