protocol,detector,calibration_policy,quantifier,contamination_mode,true_prevalence,detection_error_contribution,bag_sampling_error_contribution,quantifier_adjustment_contribution,total_prevalence_error,max_absolute_residual
P3,char3gram,oracle_target,cc,replace,0.0,0.052874743326488706,-0.008874743326488709,0.0,0.044,0.0
P3,char3gram,oracle_target,cc,replace,0.05,0.004235112936344959,-0.007735112936344962,0.0,-0.003500000000000003,0.0
P3,char3gram,oracle_target,cc,replace,0.1,-0.04440451745379877,-0.00609548254620124,0.0,-0.0505,0.0
P3,char3gram,oracle_target,pacc,replace,0.0,0.052874743326488706,-0.008874743326488709,-0.044,0.0,0.0
P3,char3gram,oracle_target,pacc,replace,0.05,0.004235112936344959,-0.007735112936344962,-0.00911331841713714,-0.012613318417137143,0.0
P3,char3gram,oracle_target,pacc,replace,0.1,-0.04440451745379877,-0.00609548254620124,0.02112963721513959,-0.029370362784860417,0.0
P3,char3gram,oracle_target,pcc,replace,0.0,0.052874743326488706,-0.008874743326488709,0.43668692509967155,0.4806869250996716,0.0
P3,char3gram,oracle_target,pcc,replace,0.05,0.004235112936344959,-0.007735112936344962,0.4377632916142641,0.4342632916142641,0.0
P3,char3gram,oracle_target,pcc,replace,0.1,-0.04440451745379877,-0.00609548254620124,0.4363883999342213,0.38588839993422125,5.551115123125783e-17
P3,char3gram,source_only,cc,replace,0.0,1.0,0.0,0.0,1.0,0.0
P3,char3gram,source_only,cc,replace,0.05,0.95,0.0,0.0,0.95,0.0
P3,char3gram,source_only,cc,replace,0.1,0.9,0.0,0.0,0.9,0.0
P3,char3gram,source_only,pacc,replace,0.0,1.0,0.0,0.0,1.0,0.0
P3,char3gram,source_only,pacc,replace,0.05,0.95,0.0,0.0,0.95,0.0
P3,char3gram,source_only,pacc,replace,0.1,0.9,0.0,0.0,0.9,0.0
P3,char3gram,source_only,pcc,replace,0.0,1.0,0.0,-0.033445127467063906,0.966554872532936,0.0
P3,char3gram,source_only,pcc,replace,0.05,0.95,0.0,-0.03294500662177491,0.917054993378225,0.0
P3,char3gram,source_only,pcc,replace,0.1,0.9,0.0,-0.03263950930168269,0.8673604906983173,0.0
P3,char3gram,target_real_anchor,cc,replace,0.0,0.052361396303901436,-0.008861396303901436,0.0,0.0435,0.0
P3,char3gram,target_real_anchor,cc,replace,0.05,0.003644763860369604,-0.009144763860369606,0.0,-0.005500000000000001,0.0
P3,char3gram,target_real_anchor,cc,replace,0.1,-0.04507186858316222,-0.007428131416837784,0.0,-0.052500000000000005,0.0
P3,char3gram,target_real_anchor,pacc,replace,0.0,0.052361396303901436,-0.008861396303901436,0.9564999999999999,1.0,0.0
P3,char3gram,target_real_anchor,pacc,replace,0.05,0.003644763860369604,-0.009144763860369606,0.9555,0.95,0.0
P3,char3gram,target_real_anchor,pacc,replace,0.1,-0.04507186858316222,-0.007428131416837784,0.9524999999999999,0.9,1.1102230246251565e-16
P3,char3gram,target_real_anchor,pcc,replace,0.0,0.052361396303901436,-0.008861396303901436,0.923054872532936,0.966554872532936,0.0
P3,char3gram,target_real_anchor,pcc,replace,0.05,0.003644763860369604,-0.009144763860369606,0.9225549933782251,0.917054993378225,0.0
P3,char3gram,target_real_anchor,pcc,replace,0.1,-0.04507186858316222,-0.007428131416837784,0.9198604906983172,0.8673604906983173,1.1102230246251565e-16
