bag_id,source_type,record_id,position
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:d924fdff5f9e815e339fd9bf:0000,0
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:85c2fc803451dffc1df72da0,1
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:a4f9b084852549d2953a624d:0000,2
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:aadf2dcde27a1ec61b326b37:0000,3
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:c703b1cf900de5735896537d,4
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:401c2d00b13b532a8fc00d2f:0000,5
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:b0015d472bb5257274caa3b7:0000,6
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:f87f77042310995940a8bca6:0000,7
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:925c7bbc152b3dedb7780af0,8
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:78f95c089ea9ef731477e422,9
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:8d1ea9393373098459b37b5d:0000,10
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:0f199a8418017612acb959bd:0000,11
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:ad6e5cfb89f975337e758aa0,12
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:6a9bbd05d3f4cb15c58cd5ed,13
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:1c9278bc5391ab0d48c0914e,14
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:51807d8713dafefbad6934b1:0000,15
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:6593ff2f0049563b4596497a:0000,16
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:28a272227f5332204796bb38,17
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:7b4bb91c5a63d37b73bba410:0000,18
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:dd3b041bd7b066c70db9f1e5:0000,19
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:dc9be96f5604426c8c54c25a,20
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:db7a14bfec0392a58e93d242:0000,21
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:ec97e7947399f1efd6df0d8d,22
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:b0587fd45a673caf11e4029a,23
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:1ddea9eff547e95a36f2ce99:0000,24
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:cdca6b91d601142b164db285:0000,25
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:fab424aaa1adab4e97a452e5,26
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:0a310e9e28130ce2d1527c50,27
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:e705af33cf8f6a8295ed4e6e,28
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:60f67af87aa5917a399c9ba5:0000,29
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:8b359eaf7ef27d1a370ff354:0000,30
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:365f58e335689ce326feab66:0000,31
bag:adult:GaussianCopula:s42:test:p050:b00,real,adult:8bd13b6a244bc548805735d9:0000,32
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:102c9f63322330c3726aed4d,33
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:5a6432f706221070089ab178,34
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:836332735fe9c0f362acfc5e,35
bag:adult:GaussianCopula:s42:test:p050:b00,synthetic,syn:adult:GaussianCopula:S_final_test:2ba676c4d1b4f6aa390861f5,36
